,exp_id,ISO_A3,Sum_abs_anom_popw,E-index,b,alpha
287,06-02,COL,0.6146550074917952,2.5917280312412827,1.8917174766797835,2.6343842036760163
288,06-08,COL,1.049903542937763,3.451181820469674,1.7567325719834295,2.446405763422392
289,06-11,COL,0.6618786989881894,2.781386144167284,2.0547210354987526,2.861381102414482
290,09-02,COL,1.0027867598273326,2.816452982245042,0.8653971013252499,1.2051421429163853
291,09-11,COL,1.0581315848027149,3.249591739252556,1.1278130497208432,1.5705796026682204
292,12-02,COL,1.304647237494002,3.2702968591511747,-0.4389745107910843,-0.6113109020243995
293,Control,COL,1.2372732790358474,3.863226130518031,,
294,Historical,COL,0.514671608497629,-0.024287534875289285,0.7180871620927894,1.0
295,06-02,COM,0.0,2.5917280312412827,0.0,
296,06-08,COM,0.0,3.451181820469674,0.0,
297,06-11,COM,0.0,2.781386144167284,0.0,
298,09-02,COM,0.0,2.816452982245042,0.0,
299,09-11,COM,0.0,3.249591739252556,0.0,
300,12-02,COM,0.0,3.2702968591511747,0.0,
301,Control,COM,0.0,3.863226130518031,,
302,Historical,COM,0.0,-0.024287534875289285,0.0,
303,06-02,COG,0.5669909289986769,2.5917280312412827,0.4925154176253642,2.8845454482657744
304,06-08,COG,0.6144072084185587,3.451181820469674,1.0752547648487556,6.297510954326787
305,06-11,COG,0.6071197340267191,2.781386144167284,0.43555957918861515,2.550968673538582
306,09-02,COG,0.33181815304576534,2.816452982245042,1.4661801682198319,8.587067895188383
307,09-11,COG,0.36552059285003297,3.249591739252556,2.2889165022388527,13.405638568284845
308,12-02,COG,0.6679618828832612,3.2702968591511747,0.3982916703715449,2.332699411506189
309,Control,COG,0.7290918250420497,3.863226130518031,,
310,Historical,COG,0.5572755723408612,-0.024287534875289285,0.1707428177016489,1.0
311,06-02,COD,0.8146590396203043,2.5917280312412827,0.2784148749219655,0.5765876357078519
312,06-08,COD,0.8035204632907983,3.451181820469674,0.963573124841777,1.9955268196064129
313,06-11,COD,0.9328619060937232,2.781386144167284,-0.09487578522108442,-0.19648448992491366
314,09-02,COD,0.8207683755169041,2.816452982245042,0.31563881700911733,0.6536771402315327
315,09-11,COD,0.8232220938066017,3.249591739252556,0.5229872610664471,1.0830886404619944
316,12-02,COD,1.1710372512765768,3.2702968591511747,-1.7249369945700381,-3.572285222630104
317,Control,COD,0.9062933297999949,3.863226130518031,,
318,Historical,COD,0.42039108186862256,-0.024287534875289285,0.4828665369838663,1.0
319,06-02,COK,0.0,2.5917280312412827,0.0,
320,06-08,COK,0.0,3.451181820469674,0.0,
321,06-11,COK,0.0,2.781386144167284,0.0,
322,09-02,COK,0.0,2.816452982245042,0.0,
323,09-11,COK,0.0,3.249591739252556,0.0,
324,12-02,COK,0.0,3.2702968591511747,0.0,
325,Control,COK,0.0,3.863226130518031,,
326,Historical,COK,0.0,-0.024287534875289285,0.0,
327,06-02,CRI,0.8940721933540186,2.5917280312412827,1.1627197009861985,1.376488233204471
328,06-08,CRI,1.1634125513460525,3.451181820469674,1.06268469220285,1.2580615716608565
329,06-11,CRI,0.815681286310022,2.781386144167284,1.6464890489871933,1.9491996223239303
330,09-02,CRI,1.1749232322510759,2.816452982245042,0.37582624104791773,0.44492270845083626
331,09-11,CRI,1.240863819810147,3.249591739252556,0.22596747933156314,0.26751208921888153
332,12-02,CRI,1.3039114991896648,3.2702968591511747,-0.1769283975139624,-0.20945706612791215
333,Control,CRI,1.2767564680633892,3.863226130518031,,
334,Historical,CRI,0.4267458972292008,-0.024287534875289285,0.8447000656731962,1.0
335,06-02,HRV,0.5985298631494093,2.5917280312412827,0.21741647731546715,0.5159358456822662
336,06-08,HRV,0.39056268013452017,3.451181820469674,2.620759144191743,6.219140343379609
337,06-11,HRV,0.4324651100643583,2.781386144167284,0.8485453881500664,2.013623750327622
338,09-02,HRV,0.1698010203346695,2.816452982245042,1.8463609897859978,4.3814702108238786
339,09-11,HRV,0.5002422500220853,3.249591739252556,1.0692880359013615,2.5374526985837202
340,12-02,HRV,0.22922816472011653,3.2702968591511747,2.872417826747898,6.816333972910731
341,Control,HRV,0.670087837836486,3.863226130518031,,
342,Historical,HRV,0.24603638922332458,-0.024287534875289285,0.42140215520004953,1.0
343,06-02,CUB,0.2785355420979583,2.5917280312412827,-0.13096066388952154,11.201225286196415
344,06-08,CUB,0.5723602571075551,3.451181820469674,-3.1589504339469747,270.1888828879032
345,06-11,CUB,0.3937518202695096,2.781386144167284,-0.565354192325652,48.35543350694585
346,09-02,CUB,0.3366875120040583,2.816452982245042,-0.37369170726557316,31.962307431460435
347,09-11,CUB,0.3284478575470701,3.249591739252556,-0.5855910320674267,50.08631508845262
348,12-02,CUB,0.5597939471382596,3.2702968591511747,-2.113373576761341,180.75941923422528
349,Control,CUB,0.2354326458164973,3.863226130518031,,
350,Historical,CUB,0.24719778676920415,-0.024287534875289285,-0.011691637347113093,1.0
351,06-02,CYP,0.4730338032092763,2.5917280312412827,2.007056399216169,2.642151374712092
352,06-08,CYP,0.48960598974641284,3.451181820469674,6.038055209117032,7.94868339404239
353,06-11,CYP,0.49495291337852715,2.781386144167284,2.2806421917382496,3.002308208419513
354,09-02,CYP,0.2396188035170078,2.816452982245042,3.2993808911784654,4.343407470129135
355,09-11,CYP,0.38423407837379225,3.249591739252556,4.717828490905728,6.210695941464616
356,12-02,CYP,0.9249858206353182,3.2702968591511747,1.3593114595708664,1.7894398199122274
357,Control,CYP,1.1336134096125896,3.863226130518031,,
358,Historical,CYP,0.3692081271839823,-0.024287534875289285,0.7596296027644791,1.0
359,06-02,CZE,0.5611386280878393,2.5917280312412827,-0.12998964788888412,-0.5401854231809222
360,06-08,CZE,0.41123288513546324,3.451181820469674,1.004353616783109,4.173695308175905
361,06-11,CZE,0.3542748815877636,2.781386144167284,0.585927538930945,2.4348824749592586
362,09-02,CZE,0.5139896695093227,2.816452982245042,0.016111894557757855,0.06695464386032146
363,09-11,CZE,0.5868801252286777,3.249591739252556,-0.4314080474915645,-1.792760750433683
364,12-02,CZE,0.4331377910761978,3.2702968591511747,0.5552341635896261,2.307332979927362
365,Control,CZE,0.5183553209159634,3.863226130518031,,
366,Historical,CZE,0.27620351880078703,-0.024287534875289285,0.2406389404649803,1.0
367,06-02,BEN,0.7074358963870718,2.5917280312412827,-0.5833715661068856,-3.4862824037916664
368,06-08,BEN,0.6082030725341806,3.451181820469674,-0.86980208347341,-5.19801765216491
369,06-11,BEN,0.5631024405954039,2.781386144167284,-0.17023132984378164,-1.0173181627088326
370,09-02,BEN,0.5905364332500741,2.816452982245042,-0.27718209749774747,-1.656465836347277
371,09-11,BEN,0.8067773991789602,3.249591739252556,-1.8342103098009432,-10.961410359072373
372,12-02,BEN,0.7191572796443164,3.2702968591511747,-1.3273728074646831,-7.932502594903293
373,Control,BEN,0.5154316459453453,3.863226130518031,,
374,Historical,BEN,0.3470462229050173,-0.024287534875289285,0.1673334224078959,1.0
375,06-02,DNK,0.5229346630364524,2.5917280312412827,-0.9102524641182359,13.452818117171434
376,06-08,DNK,0.36696151217196143,3.451181820469674,-1.3465171399752383,19.900468155599302
377,06-11,DNK,0.4642436007608339,2.781386144167284,-0.8602449940092698,12.713746896389303
378,09-02,DNK,0.643535849017016,2.816452982245042,-1.5507600034621374,22.919017626795927
379,09-11,DNK,1.0459778856352526,3.249591739252556,-5.179009795015652,76.54170633516121
380,12-02,DNK,0.15144138992050998,3.2702968591511747,0.4684846160226066,-6.92383550551573
381,Control,DNK,0.2233445694497955,3.863226130518031,,
382,Historical,DNK,0.29143254028204485,-0.024287534875289285,-0.06766258609832629,1.0
383,06-02,DMA,0.0,2.5917280312412827,0.0,
384,06-08,DMA,0.0,3.451181820469674,0.0,
385,06-11,DMA,0.0,2.781386144167284,0.0,
386,09-02,DMA,0.0,2.816452982245042,0.0,
387,09-11,DMA,0.0,3.249591739252556,0.0,
388,12-02,DMA,0.0,3.2702968591511747,0.0,
389,Control,DMA,0.0,3.863226130518031,,
390,Historical,DMA,0.0,-0.024287534875289285,0.0,
391,06-02,DOM,0.7908878023771969,2.5917280312412827,-0.6084156784910472,-2.07119684935395
392,06-08,DOM,0.9030703819453415,3.451181820469674,-2.929262756732322,-9.971932031273465
